ReviewText,Rating,Country,Product name,Source
"J'ai récemment découvert Angel grâce à une amie, alors que j'étais une fidèle d'un autre parfum depuis plus de 20 ans et c'est un véritable enchantement !",5,fr,Angel,Sephora
"Les parfums de thierry mugler. On aime ou on déteste. C'est assez particulier, j'ai essayé le parfum angel de thierry mugler dont on m'a maintes fois parlé. Pour faire court, je n'ai pas du tout aimé. L'odeur du parfum m'indispose.",5,fr,Angel,Sephora
Angel est différent..je le portais depuis 7ans! La fragrance n’est plus la même et ne tient plus.. Je suis à la recherche d’un parfum similaire..,5,fr,Angel,Sephora
"mon angel je le porte depuis plus de vingt ans c est mon odeur le l adooore!!! ne m en lasse jamais j en ai,besoin pour me sentir bien je ne le compare avec aucun autre merci mugler!!! c devenu ma drogue!!!!!",5,fr,Angel,Sephora
"produits conformes à ma commande , bien emballés. regrette peut être l'ajout d'échantillons",5,fr,Angel,Sephora
"Cadeau de noel que l'on m'a offert, magnifique, sent trop bon et tiens extrêmement bien sur la peau et aussi sur les vêtements. Le meilleur !!!!!",5,fr,Angel,Sephora
"Mon parfum depuis presque 20 ans, j'ai juste l'impression que le parfum du 100ml tient moins longtemps que l eau de parfum 25ml. Je n'en changerai pour rien au monde.",5,fr,Angel,Sephora
le parfum bien mais le vissage du bonchon est léger court donc évaporation rapide,5,fr,Angel,Sephora
superbe flacon et plus pratique que l ancien je le recommande,5,fr,Angel,Sephora
Mon parfum depuis sa création et je l'apprécie toujours.,5,fr,Angel,Sephora
"Je porte angel depuis des années , et depuis 2 ans je trouve vraiment different ne tiens plus ainsi que le lait de corps . Je trouve vraiment ca dommage vraiment déçu !! Je ne comprent pas pourquoi les vendeuses disent que rien de changer dans la formule . Et sur les vêtement même chose ne sent plus aussi longtemps .",5,fr,Angel,Sephora
Besoin de recharger mon étoile. Livrée rapidement !,5,fr,Angel,Sephora
Un cadeau que j'ai offert à une amie qui est son parfum préféré et qui lui va à ravir. Très satisfaite en plus du mot donc je suis très contente.,5,fr,Angel,Sephora
Mon parfum depuis des années ! Je ne m'en lasserais jamais je pense !,5,fr,Angel,Sephora
"Angel est pour moi un ange, mais très intense. La première fois que je l'ai porté, j'ai détesté, je me suis douché tout de suite parés l'avoir porté deux fois, j'ai adoré !!! La tenue de ce parfum est démente, il tient même après une douche ! ! ! Après avoir étudié ce parfum en cour, je peux vous dire qu'il se compose à 30 % de patchouli pur ! Donc il faut aimer les odeurs intenses et très prenantes ! Pendant ma période dans des parfumeries, les clientes qui connaissent Angel depuis les années 1992 mon dit que ce n'était plus du tout le même qui était noyé dans de l'alcool ! Qu'il ne tenait plus qu'il avait perdu sont ADN Mugler....... Très beau univers avec Angel qui réinvente souvent sont univers autour de la publicité en changeant souvent d'égérie, mais en gardant l'univers céleste bleu et noir. Sublime flacon, mais. Le seul problème que je constate chez Mugler et certaine marque et que le parfum a pris plus d'une dizaine d'euros en mois de 3 ans....... Dommage, car des personnes ne pourront plus se le payer.!.",5,fr,Angel,Sephora
"Déception,Angel n'est plus Angel! Il est sans saveur et ne tient plus!",5,fr,Angel,Sephora
"Mon parfum préféré depuis de nombreuses années. Je ne me lasse pas de son odeur sucrée. Il varie beaucoup d'une peau à l'autre. Il arrive souvent dans la rue que l'on me demande le nom de mon parfum. Plus qu'une flagrance, un must have !",5,fr,Angel,Sephora
"Livraison avec juste 1 échantillon sur les 4 normalement offerts ... C est pas grand chose , mais bon ....",5,fr,Angel,Sephora
Je l'ai découvert à sa sortie dans les années 90 et je le porte régulièrement. Mais de moins en moins car il est beaucoup trop porté et j'aime l'originalité. Néanmoins aucun autre n'a jamais égalé son odeur absolument extraordinaire. De plus il tient longtemps. Un délice.,5,fr,Angel,Sephora
je le porte depuis plus de 25ans.. je ne m'en lasse pas,5,fr,Angel,Sephora
"Un must ! A avoir ! Mon coup de coeur. Tellement envoûtant , ennivran . Pour une femme de caractère. Une odeur qui reste sur la peau toute la journée.",5,fr,Angel,Sephora
"Parfum toujours aussi sensuel, envoûtant, laissant un sillon de parfum très attirant ! Néanmoins, parfum onéreux, heureusement il existe un flacon source ... Attention, suivant les peaux, il peut être très désagréable.",5,fr,Angel,Sephora
"j'adore ce parfum, il tient bien et sa fragrance est excellente!",5,fr,Angel,Sephora
"Ma mère le porte depuis des années et lui va terriblement bien... Par contre, sur moi, il sent trop fort et l'odeur vire de façon désagréable. Point positif, c'est bien que le flacon soit rechargeable, d'autres marques devraient faire de même...",5,fr,Angel,Sephora
"j'ai reçu pour noel, par mon chéri , angel , mon parfum adoré, que cette odeur m'a manqué, mais malgré cela je ne me lasse pas de sentir le flacon,j'adore tjrs autant, quel parfum envoutant.",5,fr,Angel,Sephora
"Il m'a été offert par mon copain et j'adore! Je le met le soir quand je sort et à chaque fois on me dit ""ah tu portes Angel"" et oui, un grand classique! Ma bouteille est bientôt vide et j'irais la ressourcer sans hésitation!",5,fr,Angel,Sephora
"C est mon parfum d hiver depuis sa création , et je L adore toujours autant . Tres envoutant , ce parfum possède une vraie identité olfactive. Pour celles qui aiment tout de meme les senteurs chaudes , sucres ...la vanille , le chocolat ...ce n est pas un parfum discret , mais il reste élégant .",5,fr,Angel,Sephora
J'ai l'étoile ressourçable depuis plusieurs années alors c'est un parfum que j'ai toujours sous la main C'est un parfum discret mais que tout le monde connait et qui ne se démode pas. Moi j'adore,5,fr,Angel,Sephora
très bon produit très longue tenu flacon source de qualité,5,fr,Angel,Sephora
"un avant gout du paradis, envoûtante pour les femmes et ne reste jamais insensible a l'odeur",5,fr,Angel,Sephora
ce parfum est super et sens tres bon mais reste encore assez chere pour l avoir au quotidien,5,fr,Angel,Sephora
"Angel fait partie de mes parfums préférés. Il répond à mes attentes : il tient longtemps dans la journée, pas besoin de retouches.",5,fr,Angel,Sephora
"Angel est et restera mon parfum favori, il tient toute la journée et son odeur est reconnaissable, de plus le flacon en etoile est sublime",5,fr,Angel,Sephora
Livraison très rapide malgrès l'approche des fetes de Noel. Petit bémol tout de meme concernant les échantillons gratuits: 2 sur 3 ne sont pas ceux que j'avais choisis,5,fr,Angel,Sephora
"Très bien et très facile,. Quand on ne peut pas prendre le flacon original ou que l’on n’a pas de sephora prêt de chez soi cette solution est très bien, en plus la recharge arrive dans une jolie bouteille . Je recommande",5,fr,Angel,Sephora
"Bonjour, Je l'ai offert à ma femme qui l'adore aussi . Ce parfum est envoutant et sensuel.",5,fr,Angel,Sephora
"Bonjours, Pour ma part, bonne achat pour ma première fois . Bien emballé.",5,fr,Angel,Sephora
"le must du parfum, celui qui traverse les années et qui m'accompagne ! je ne m'en lasse pas.",5,fr,Angel,Sephora
Parfum original et sensuel d'une senteur vraiment unique. Je ne l'aime pas je l'adore! Une très bonne tenue sur la peau ou les vêtements toute la journée.,5,fr,Angel,Sephora
On me l'a offert il y à plus de 10 ans maintenant et même si j'essaie d'autres parfums c'est toujours celui-ci qui revient en tête de liste. Il a une odeur reconnaissable entre tous et je le sens toute la journée. Il me convient parfaitement.,5,fr,Angel,Sephora
"J'ai acheté mon 1er Angel étoile rechargeable avec son trépied en 1994. Il y a 2 ans environ j'ai trouve qu'il avait terriblement changé. Ainsi que toute la gamme de creme céleste, lait céleste . Mon mari me l'avait choisi, comme j'ai protesté muggler m'en a renvoyé un flacon, mais pareil !!! Il sent trop l'alcool, et non plus cette fragrance incomparable qui a fait de lui le numéro UN durant des années. Étrange,mais changement radical d'odeur après une fusion avec une marque de soins visage et corps. Alors quand je lis que certaines le portent depuis 20 ans et qu'il n'a pas changé, je pense que l'on ne parle pas du même Angel en eau de parfum. Mon odorat doit être trop sensible, et pourtant j'essaie d'en mettre de temps en temps. Mais rien a faire ! C'est comme Poison de Dior, pareil pareil !!!!!!",5,fr,Angel,Sephora
"ce parfum est magnifique, après il faut aimer l'odeur assez forte et reconnaissable entre toutes ,au moins il tiens, pas besoin d'en remettre dans la journée.",5,fr,Angel,Sephora
"Angel est vraiment une très bonne marques de parfum, car il sent très bon, le parfum reste toute la journée. Le petit plus de ce parfum c'est qu'il est rechargeable et sa c'est vraiment super !",5,fr,Angel,Sephora
"""LE "" parfum, pour celle qui aime le patchouli. C'est un des rares parfum qui tient sur moi. Il est reconnaissable entre tous Le ressourçable est pratique Dommage, le flacon ne tient pas debout.",5,fr,Angel,Sephora
"parfum que j'utilise depuis sa création.Il est envoutant, sensuel, enivrant .je l'adore",5,fr,Angel,Sephora
"Je mets ce parfum régulièrement depuis plus de 10 ans et j'en suis toujours fan.... Il tient toute la journée et son odeur me donne envie de chocolat! Un classique des parfums gourmands, envoutants. Pour ne rien gâcher, le flacon est magnifique.",5,fr,Angel,Sephora
Ce parfum ne me correspond pas du tout. Je l'ai refilé a ma mère...,5,fr,Angel,Sephora
"je ne peux m en passer, j adore toujours autant !!!! ces notes sucrées ne me lasseront jamais ! je le connais depuis plus de 10 ans et c est mon parfum préférée et aussi celui de mon chéri ;) merci Thierry Mugler !",5,fr,Angel,Sephora
"Cela fait des années que j'utilise Angel, je ne pourrais pas en changer. Dommage que je sois sans cesse obligée d'en rajouter, car à force, je ne le sens plus !",5,fr,Angel,Sephora
ce parfum que j ai acheté récemment est pour ma fille je trouve qu il relève bien sa personnalité ; forte de plus il tient toute la journée sans être entêtant,5,fr,Angel,Sephora
"fidèle, je ne peux me passer de lui . De plus, on me parle de lui.... toujours en bien , les hommes , les femmes, vraiment je l'aime...",5,fr,Angel,Sephora
"je trouve que ce parfum sent très bon , il est sublime . je l ' adore je vous le conseil .je suis très satisfaite du services , livraison rapide !! mon mari et mes enfants l 'aime aussi .",5,fr,Angel,Sephora
ODEUR SINGULIERE ET AUDACIEUSE DESTINEE A DES FEMMES DE CARACTERE,5,fr,Angel,Sephora
"Fidèle depuis des années à ANGEL, je ne m'en lasse pas. Il tient toute la journée. Dès que mon étoile est vide, je vais vite la faire remplir. Je ne suis jamais prise au dépourvu car j'ai aussi le lait pour le corps, juste au cas où ...",5,fr,Angel,Sephora
"j'aime beaucoup ce parfum et l'achète depuis quelques mois, et là je l'ai trouvé trop vanillé par rapport à d'habitude, il ne laisse pas cette empreinte qui me fait vibrer. je suppose qu'il faisait parti d'un mauvais lot",5,fr,Angel,Sephora
J''adore son odeur je ne m'en lasse pas depuis presque 20ans ....Parfum de qualité,5,fr,Angel,Sephora
EXCELLENT PRODUIT - PREFERE A L'EAU DE TOILETTE DE LA MEME MARQUE,5,fr,Angel,Sephora
"je suis fidèle à ce parfum depuis plus de 10 ans j'adore son odeur, ses notes poudrées",5,fr,Angel,Sephora
très bon parfum odeur agréable et tiens toute la journée. je l'adore ..............,5,fr,Angel,Sephora
"Parfum qui dure longtemps, d'ailleurs le seul sur plusieurs autre testés notament, lolita lempika, aqua di gioa, ...",5,fr,Angel,Sephora
en effet ce produit est trés remarquable . c'est exactement ce que je désirais,5,fr,Angel,Sephora
"Le flacon était vraiment magnifique , je me suis donc empressé de le sentir , malheureusement ça été la déception , l'odeur ne me plaisait pas du tout . Vraiment déçu qu'un aussi beau flacon renferme une odeur que je ne supporte pas ...",5,fr,Angel,Sephora
Très bon parfum pour la journée qui sent la fraîcheur et les fleurs,5,fr,Angel,Sephora
Ce parfum je l'adore il a une odeur envoutante je le met depuis 9 ans et je suis tjr aussi dingue de cette odeur !!,5,fr,Angel,Sephora
j'adore depuis 20 ans je n'ai jamais changé de parfum.,5,fr,Angel,Sephora
tres bon avis presentation originale parfum agreable,5,fr,Angel,Sephora
J'adore depuis 20 ans maintenant.........je ne peux plus m'en passer <3,5,fr,Angel,Sephora
Depuis que je l'ai essayé je ne m'en passe plus... Pour celles qu'ils ne l'ont pas essayé à tenter absolument.,5,fr,Angel,Sephora
"testé en échantillon. Un parfum qui ne me laisse pas indifférente, il laisse un sillage sucré assez sensuel et plaisant. On se sent femme, mais il est un peu étouffant à mon goût pour une utilisation quotidienne, peut-être à cause du patchouli que je n'apprécie pas. Je le porterais sûrement plus facilement le soir. A tester sur sa peau pour se fair une idée !",5,fr,Angel,Sephora
mon parfum depuis des années j'adore et j'en changerais pour rien au monde,5,fr,Angel,Sephora
j adore s est un parfum qui tiens bien sur la peau et longtemp,5,fr,Angel,Sephora
"J'ai trouvé le packaging très joli et j'étais pressé de sentir son odeur vu les avis très positifs sur ce parfum. J'ai été vraiment déçu, l'odeur de ce parfum est juste insoutenable pour moi et je l'ai trouvé assez entêtant... Bref ne me correspondait pas du tout au final.",5,fr,Angel,Sephora
J'ai été deçu par le parfum il sent fort j'aime pas du tout en plus de ça il coute cher j'aime bien le flacon mais le reste non,5,fr,Angel,Sephora
Totallement accroc. Sans conteste l'un des mes deux parfums préféré.,5,fr,Angel,Sephora
"Après le Lolita Lempicka je cherchais un nouveau parfum ""de caractère"". J'ai essayé Angel et ai trouvé que son odeur était différente sur moi, pas aussi entêtante.Pour info les filles, si vous achetez le ressourçable, faire remplir votre flacon dans un sephora coûte bien bien moins cher que d'acheter une ressource ! J'ai gagné +30€ pour mon 25ml !! et oui on paye le packaging !",5,fr,Angel,Sephora
"Magnifique flacon, mais un peu trop coûteux. Je n'ai pas encore trouvé mon idéal de parfum.",5,fr,Angel,Sephora
"Certes très sinon trop porté, assez sec et sombre sur moi, je replonge après une interruption dans son univers. Me suis même offert l'Etoile Collection pour la maison alors que j'ai la Vertigineuse au bureau et une mini dans mon sac ... impossible de faire sans lui, parfois associé, pour ""signer"" de façon théâtrale, à Aromatics Elixir, il est fabuleux. Et l'une de rares gammes de dérivés pour le corps qui en vaille vraiment la peine. A l'heure des reformulations, des restrictions, de la crise et de la morosité, il est d'autant plus d'actualité.",5,fr,Angel,Sephora
"Mon parfum chéri depuis 15 ans...Je reviens toujours à lui, il me réconforte. Quand on a goûté à son odeur enveloppante comme une caresse, on ne peut plus s'en passer. A la fois sensuel et gourmand, on passe de femme fatale à petite fille gourmande",5,fr,Angel,Sephora
"A 20 ans, je l'aimais bien car il me correspondait. A bientôt 40, je l'ai eu en cadeau et il est resté longtemps dans mon placard car son odeur m'écœure... Même si le flacon est superbe. J'ai fini par le donner à une amie au grand dam de ma tante qui m'a dit qu'il s'agissait du ressourçable, oups!!!",5,fr,Angel,Sephora
"Il y a quelques années j'avais senti ce parfum qui m'avait beaucoup plus, là je l'ai reçu en échantillon et je n'ai pas trop aimé l'odeur, je l'ai fait essayé sur plusieurs personne et j'ai l'impression qu'ils sent la transpiration lol je sais pas pourquoi mais c'est ce que je trouve. c'est domage parce que il a l'air d'être sucré. enfin peut etre l'eau de parfum est trop forte pour moi",5,fr,Angel,Sephora
"Angel est un parfum qui coûte assez cher, malgré cela je l'avais acheter et mis quelques temps, et bien j'ai tenu que 2 semaines, son odeur me mettais mal de tête de plus que mon entourage me fessait la remarque ah tu a mis angel ça sent fort ! M'ouii j'avoue ça sent fort mais c'est lourd à porter, j'ai été déçu de l'avoir acheter encore un parfum mis dans le placard",5,fr,Angel,Sephora
"Je ne vais pas me faire que des copines, mais personnellement je trouve tout vulgaire dans ce parfum : son odeur envahissante de fête foraine, son flacon tape-à-l'oeil, même leurs pubs sont vulgaires. Pour moi ce parfum, c'est l'antithèse de la ""classe"".",5,fr,Angel,Sephora
"un parfum enivrant , le flacon est magnifique , je le recommande à tout les femmes !",5,fr,Angel,Sephora
"angel a une odeur inoubliable, c'est un melange de sensualité et de gourmandise! il est envoutant, et on se retourne toujours sur une femme qui porte angel que l'on soit homme ou femme nous voulons voir qui porte ce parfum!! c'est impressionnant! je porte ce pafum depuis 11ans et je travaille dans le commerce tout mes collegues H/F sont intrigués par son odeur et mes clientes qui le portent ne laissent pas leur passage indifferent. essayez -le!!!",5,fr,Angel,Sephora
j'avais acheter le parfum pour la bouteille très jolie mais j'ai était déçu je trouve se parfum écoeurent j'aime pas du tout son odeur,5,fr,Angel,Sephora
"Angel a la particularite d'etre un parfum qui varie enormement selon la peau . C'est pour cela que je conseillerais de l'essayer ou de se procurer un echantillon . Sur quelques personnes il est divin , et sur d'autre , l'odeur prend une autre tournoure . Quand a moi , on me dit qu'il me va tres bien . J'aime beaucoup ses notes sucres et chaudes . C'est pour moi un parfum singulier et unique . Je trouve que le flacon est aussi un des plus beaux .",5,fr,Angel,Sephora
"Des que je sens cette odeur, je pense à ma maman qui adore ce parfum. C'est vrai que l'odeur est forte, mais c'est ce que j'aime dans ce parfum, quand je le mets, je sais qu'il va tenir toute la journée sur ma peau pas comme d'autres parfums comme Candy de Prada ainsi que Nina Elixir de Nina Ricci qui ne tienne pas du tout sur ma peau. Enfin bref pour moi c'est un must have",5,fr,Angel,Sephora
"J'ai eu beau essayer, ce parfum n'est pas pour moi. On m'a offert un flacon que l'on peut remplir à nouveau quand il est vide, mais je ne compte pas utiliser cette possibilité. J'ai beaucoup de mal avec l'odeur forte, qui persiste trop longtemps sur la peau et les vêtements. Je pense que l'absence de notes fleuries est pour beaucoup dans ma difficulté à aimer ce parfum. Pourtant, le flacon en étoile est sublime et me tentait beaucoup.",5,fr,Angel,Sephora
"A-t-on le droit de dire ici que l'on n'aime pas Angel ? Si vous trouvez que sentir la barbe à papa, ce n'est pas glamour; et si vous ne supportez pas de faire un pas dans la rue sans sentir votre odeur décuplée à l'infini, dans le métro, le bus, au travail, au restaurant, au cinéma, dans les salles de spectacles au point de penser que vous êtes clonée, alors fuyez.... La seule chose positive dans ce parfum c'est sa bouteille et cette magnifique couleur bleue insolite pour un jus (je me plains suffisamment de la couleur standard rose pâlote des parfums actuels...)",5,fr,Angel,Sephora
"il sent trés bon et dur longtemps, prix un peu haut quand même !!!",5,fr,Angel,Sephora
"Un parfum qui a beaucoup de caractère!! Il a une odeur très prononcée, et tient parfaitement!!! Malgré une originalité à sa sortie, il est devenu plutôt commun car très connu et répendu... ce qui est dommage! mais pour ma part il reste quand même un nectar appréciable et agréable à porter les longues journées d'hiver!!!",5,fr,Angel,Sephora
"Meme si ca peut vous paraitre bizarre angel aujourd'hui sent en effet frais et leger. Quand j'avais 12 ans il sentait plus ""profond"" et plus chocolaté sucré. Il es devenu moins entetant. Jadore le porter de temps a autre car il me rappelle mon enfance et adolescence. Le parfum aujourd'hui ressemble un peu a wish a de chopard. Ou est-ce que les facultés olfactives changent vraiment avec l'age? Le parfum sent peut etre toujours pareil c'est moi qui ai pris de l'age. Personnellement jaime bien ce parfum",5,fr,Angel,Sephora
super parfum donne une note sucré il tiens bien sur toute une journée,5,fr,Angel,Sephora
Un parfum qui tient toute la journée; envoûtant et sensuel ! Les amateurs de vanille seront séduits (les autres risquent de ne pas apprécier),5,fr,Angel,Sephora
"c'est un parfum extraordinaire, pour l'hiver il est génial!!! je le conseil meme s'il ne va pas à tous le monde. c'est un parfum de caractère!!! lol",5,fr,Angel,Sephora
"angel est un magnifique parfum,presque parfait ,mais tellement porté,bcp trop porté!!pour le coup,manque d originalité et devenu presque vulgaire!!quel dommage!j aurai voulu l avoir rien que pour moi,mais je ne le porte pas.j ai 3 voisines qui le porte déja!!",5,fr,Angel,Sephora
"le meilleur parfu de tous les temps je le porte souvent l'hiver, et pour moi le fait que ce soit un flacon ressourçable est vraiment economique ! c'est une merveille gourmande et associé à la crème pour le corps c'est une alliance parfaite de plus le flacon est magnifique",5,fr,Angel,Sephora
"Voilà le genre de parfum que tout le monde aime , sauf moi ! A sa sortie en 1992 il était sans doute très original, mais depuis trop de maisons se sont engouffrées dans la tendance ""gourmand-ultra sucré"" . Allant toujours dans la surenchère . J'ai d'ailleurs du mal à comprendre que tant de gens ici l'aient qualifié de ""Frais et Léger"" Autre problème tout le monde le porte, on le sens sans arrêt, dans la rue , dans le métro , au cinéma , dans les files d'attentes , dans les toilettes pour dames ... Partout !!! Si vous êtes une inconditionnelle , chacun ses gouts, mais si vous voulez être originale, essayez autre chose!",5,fr,Angel,Sephora
"C'est ""mon parfum"" par excellence!! je le mets depuis de nombreuses années et je ne m'en lasse pas!! L'étoile est magnifique! Il ni à rien a ajouter...",5,fr,Angel,Sephora
"super pratique, odeur magnifique.... envoûtante ....",5,fr,Angel,Sephora
"Rien à dire si ce n'est le meilleur des parfums !!!! Tout est dans ce flacon, l'alliance de différentes odeurs donne un résultat fraîs et en même temps prononcé. Je le conseille à toutes !!!!",5,fr,Angel,Sephora
"J'adore ce parfum, on ne peux pas le confondre car il est unique. Je ne m'en lasse pas.",5,fr,Angel,Sephora
Je porte Angel depuis des années et je ne peux plus m'en séparer ce parfum fait partie de ma vie.,5,fr,Angel,Sephora
Cela fait un lapse de temps que je l'utilise et jamais je m'en lasse,5,fr,Angel,Sephora
"L'engouement pour "" Angel "" reste pour moi un mystère. Je trouve ce parfum vulgaire et désagréable. Définitivement non !",5,fr,Angel,Sephora
"l unique du parfum !! je l utilise depuis des années et franchement il est incontournable, on revient toujours à lui, sans commentaire!!",5,fr,Angel,Sephora
"Malgré son age il ne se démode pas, une odeur envoûtante qui tient à la peau.",5,fr,Angel,Sephora
"ce parfum est plutot fort et vous suit toute journee et envoute ceux qui vous approche,il est parfait pour seduire",5,fr,Angel,Sephora
