Bazaarvoice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All Reviews Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Review ID;Submission Date;Initial Publish Date;Product ID;Product Name;Review Title;Review Text;Product Page URL;Review Authorization Source;Moderation Status;Content Codes;User ID;BV_FE_EXPAND;BV_FE_FAMILY;EAN;Category;Category ID;Top Level Category;Top Level Category ID;"Category
Hierarchy";Product Brand;Featured Badge;Staff Badge;Expert Badge;Merit Rank;Is a Ratings-Only Review;User Nickname;User Location;Shared Review with Facebook;Review Published Email;Review Commented Email;Overall Rating;Recommend to a Friend;Pros;Cons;Client Comments;Photo 1;Photo 2;Video 1;# of Comments;"# of Comments
Approved";"# of Comments
Rejected";"# of Comments
in Moderation";"# of Comments 
with Photo";"# of Comments 
with Video";"# of Helpful
Votes";"# of Not Helpful
Votes";"# of Inappropriate
Votes";Client Response 1;Response Department 1;Response Name 1;Response Type 1;Age;Using Thierry Mugler for;Gender;Received free product;Verified Purchaser;Net Promoter Score;Net Promoter Comment;Campaign ID;Locale;Originating Domain;Display Code;Session Parameters
198287029;3/23/2018;3/23/2018;M020101006;A*Men Eau de Toilette Refill Bottle;Woman love men that wear Angel;"The only Cologne that has heads turning. Say Wow who smells Delicious. The Girls go wild for this scent. So what are you waiting for get some Now.
Fast Delivery and Always Authentic Product.";https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGUS013786092;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;Top 250;;Redd;Butler, NJ 07405, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;1;1;0;;;;;46-55;More than 25 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
197958816;3/11/2018;3/12/2018;M020101006;A*Men Eau de Toilette Refill Bottle;Best Mens Cologne;I have been wearing Angel for men for over 15 years. It is my staple and no matter where I go, i get so many compliments on the cologne. There truly is no other cologne on the market that will last for 12 hours +.;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGUS014192245;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;Top 100;;Chazorl1;Orlando, FL;1;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;2;1;0;;;;;46-55;11-25 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
193548158;11/26/2017;11/28/2017;M020101006;A*Men Eau de Toilette Refill Bottle;Jill;The best smelling cologne you will ever find. Women stop my husband on the street, at the office, restaurants to find out what scent he is wearing. Both my sons are grown now and dating. They wear it too.;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGUS012046593;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;Top 500;;Jilly1;;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;11-25 years;Female;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
182957852;7/15/2017;7/16/2017;M020101006;A*Men Eau de Toilette Refill Bottle;☺️;I wear Angel everyday, and now my man wears Amen! Thank you!;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGUSCRM080241;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;NikkiP0128;Clio, MI 48420, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;1;0;;;;;36-45;4-10 years;Female;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
160084978;11/23/2016;11/25/2016;M020101006;A*Men Eau de Toilette Refill Bottle;My Fragrance;"A*Men has become my ""TRADEMARK"" Fragrance. I receive repeated compliments and favorable comments from numerous individuals, both male and female. It is now an essential part of my wardrobe.

Also, the service that has been provided by your company is outstanding. Thank you ! Happy Thanksgiving !";https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGCIRCLE8295;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;Tio1;Philadelphia, PA, USA and Longport, N. J.;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;66 or over;11-25 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
154197210;9/22/2016;9/22/2016;M020101006;A*Men Eau de Toilette Refill Bottle;An elevated risk of being better at your game;"Sometimes everything lines up. Angel for Men creates a personalized edge that makes the perfect statement at the right time and the right moment.

You never have to be worried that you will go un-noticed.";https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;1454530;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;Onecoastal;;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;11-25 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
153869372;9/16/2016;9/17/2016;M020101006;A*Men Eau de Toilette Refill Bottle;Love Angel;I happen to love Angel's fragrance, and my wife likes it so much she will literally bite me when I'm wearing Angel.;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGUS00581627;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;flam45;Dallas, Texas;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;4-10 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
151263074;8/5/2016;8/8/2016;M020101025;A*Men Eau de Toilette Refill Bottle;Refillable, I think not;I've been using this product for several years now and even though it is sold as refillable, I really can't figure out how?!?! I can find nothing here that would help me either. Great fragrance though!;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101025.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;25flh6fpkf9h404i9ok1qmuhy;BV_FE_FAMILY:M020101025;M020101025;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;Woodsmith;Monroe, NC, USA;0;Yes;No;4;Yes;;;;;;;0;0;0;0;0;0;4;0;0;;;;;66 or over;4-10 years;Male;;;;;BV_RATING_SUMMARY;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
150311584;7/23/2016;7/25/2016;M020101006;A*Men Eau de Toilette Refill Bottle;"Great price; prompt delivery and 'goodies""";A-man is the only fragrance i use. Order directly from Muegler give you the best price including delivery and no taxes. It is a great value not to mention the convenience. It comes with samples of other perfumes you choose from.;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGUS00400821;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;Israel333;Orlando, FL, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;6;0;0;;;;;56-65;4-10 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
145980912;5/24/2016;5/26/2016;M020101006;A*Men Eau de Toilette Refill Bottle;A*Men Refill;The best and only way to refill your flask. I wish that the Eco-Refills would work with the metal flasks, but as long as I have my A*'s I am good to go. The original scent by Mugler for men always gets me compliments especially after wearing long enough for those base notes of tar, pitch and patchouli to come alive.;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGCIRCLE4087;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;Top 100;;flywheel;Miami, FL, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;36-45;4-10 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
