Bazaarvoice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All Reviews Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Review ID;Submission Date;Initial Publish Date;Product ID;Product Name;Review Title;Review Text;Product Page URL;Review Authorization Source;Moderation Status;Content Codes;User ID;BV_FE_EXPAND;BV_FE_FAMILY;EAN;Category;Category ID;Top Level Category;Top Level Category ID;"Category
Hierarchy";Product Brand;Featured Badge;Staff Badge;Expert Badge;Merit Rank;Is a Ratings-Only Review;User Nickname;User Location;Shared Review with Facebook;Review Published Email;Review Commented Email;Overall Rating;Recommend to a Friend;Pros;Cons;Client Comments;Photo 1;Photo 2;Video 1;# of Comments;"# of Comments
Approved";"# of Comments
Rejected";"# of Comments
in Moderation";"# of Comments 
with Photo";"# of Comments 
with Video";"# of Helpful
Votes";"# of Not Helpful
Votes";"# of Inappropriate
Votes";Client Response 1;Response Department 1;Response Name 1;Response Type 1;Age;Using Mugler for;Gender;Received an incentive for this review;Verified Purchaser;Net Promoter Score;Net Promoter Comment;Campaign ID;Locale;Originating Domain;Display Code;Session Parameters
194248981;12/16/2017;12/17/2017;M020403042;A*Men Deodorant Spray;Amen deodorant;"Excellent product,have been using Amen for over 25 years & never tire of it.
So glad you’ve reintroduced this deodorant spray.";http://www.mugler.co.uk/a-men-deodorant-spray/M020403042.html;SITE;APPROVED;;TMGUK004420864;BV_FE_FAMILY:M020403042;M020403042;;Bath & Body;M4112;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Bath & Body;MUGLER;;;;;;Mike16;Cheshire;0;No;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;56-65;More than 25 years;Male;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
193947718;12/8/2017;12/10/2017;M020403042;A*Men Deodorant Spray;Great product;"This is a great deodorant especially combined with using the Amen Aftershave.
Besides smelling good , the effect is long lasting.";http://www.mugler.co.uk/a-men-deodorant-spray/M020403042.html;SITE;APPROVED;;TMGUK004510375;BV_FE_FAMILY:M020403042;M020403042;;Bath & Body;M4112;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Bath & Body;MUGLER;;;;;;Gerald44;Essex, UK;0;No;No;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;66 or over;11-25 years;Male;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
193683142;11/30/2017;12/2/2017;M020403042;A*Men Deodorant Spray;My husbands - not mine!;A Favourite for a long time now! Even our granddaughters love the scent of Amen!;http://www.mugler.co.uk/a-men-deodorant-spray/M020403042.html;SITE;APPROVED;;TMGUK003799859;BV_FE_FAMILY:M020403042;M020403042;;Bath & Body;M4112;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Bath & Body;MUGLER;;;;Top 50;;Craftyscot;Lancashire;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;66 or over;11-25 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
177116839;4/16/2017;4/17/2017;M020403042;A*Men Deodorant Spray;Lovely smell;I've tried to buy this for my husband everywhere. I'm so pleased found where to order from now on. Very good service. Product was delivered well packaged and even included samples all of which he loves. Will definitely re order when we run low or gifts for people. Defiantly recommend this site. All smiles all round. Thank you;http://www.mugler.co.uk/a-men-deodorant-spray/M020403042.html;SITE;APPROVED;CSN;TMGUK004261388;BV_FE_FAMILY:M020403042;M020403042;;Bath & Body;M4112;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Bath & Body;MUGLER;;;;;;Suz555;;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;4-10 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
170299251;1/27/2017;1/27/2017;M020403042;A*Men Deodorant Spray;At last a body spray to my liking;"Have fallen in love with this spray and can recommend it to all, I even mix it with my after shave balm. Have been trying to buy further but its ''OUT OF STOCK''.


ps.

My name is Terry not Anna";http://www.mugler.co.uk/a-men-deodorant-spray/M020403042.html;SITE;APPROVED;;TMGUK003956355;BV_FE_FAMILY:M020403042;M020403042;;Bath & Body;M4112;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Bath & Body;MUGLER;;;;Top 250;;Anna;Uckfield TN22, UK;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;66 or over;Less than 1 year;Male;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
199308360;4/29/2018;4/29/2018;M020102004;A*Men Deodorant Stick;Best deodorant stick out there!;"Have tried many over the years, but I personally find this is the best for me. No skin reaction & very pleasant smell..and which obviously works well with the other Amen men's perfume I have.

NB. At recent Airport ""duty-free"" shops, I was told this item was now being dropped? Really pleased to see it still advertised ..& I assume available here!";https://www.mugler.co.uk/a-men-deodorant-stick/M020102004.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;iiu5cmx02dvk7ti4i9zeouttc;BV_FE_FAMILY:M020102004;M020102004;;Bath & Body;M4112;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Bath & Body;MUGLER;;;;;;Pete;Portsmouth,UK;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;66 or over;4-10 years;Male;;;;;BV_RATING_SUMMARY_ZERO_REVIEWS;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
212024583;8/14/2019;8/16/2019;M020003087;A*Men Eau de Parfum Seducing Offer;Excellent fragrance;Very unique yet distinctive fragrance. Used as a daily driver and special occasions;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;OTHER;APPROVED;;TMGUK005551872;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;;;raf_shc;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;36-45;4-10 years;Male;;Yes;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;21167-en_gb;
211790729;8/4/2019;8/6/2019;M020003087;A*Men Eau de Parfum Seducing Offer;;I buy this for my husband and he love it. Like all mugler fragments;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;OTHER;APPROVED;;TMGUK005877867;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;;;Agnes;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;36-45;Less than 1 year;Female;;Yes;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;21167-en_gb;
209491523;5/23/2019;5/24/2019;M020003087;A*Men Eau de Parfum Seducing Offer;Handy portable size;I can take this with me on carry-on on short or long haul flights. I arrive refreshed.;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;OTHER;APPROVED;;TMGUK00040056;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;;;Nilu;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;More than 25 years;Male;;Yes;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;21167-en_gb;
205367278;12/14/2018;12/14/2018;M020003087;A*Men Eau de Parfum Seducing Offer;Gorgeous Scent;"This is by far the best fragrance for men. 
Your man will smell divine. 
A really masculine fragrance that lasts for ages on. 
Highly recommended. I love this fragrance on a man.";https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;lloohl7cnv715h406kh6hnvzv;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;;;PaulineL;Lingfield;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;11-25 years;Female;;;;;BV_RATING_SUMMARY;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
