Review ID;Submission Date;Initial Publish Date;Product ID;Product Name;Review Title;Review Text;Product Page URL;Review Authorization Source;Moderation Status;Content Codes;User ID;BV_FE_EXPAND;BV_FE_FAMILY;EAN;Category;Category ID;Top Level Category;Top Level Category ID;"Category
Hierarchy";Product Brand;Featured Badge;Staff Badge;Expert Badge;Merit Rank;Is a Ratings-Only Review;User Nickname;User Location;Shared Review with Facebook;Review Published Email;Review Commented Email;Overall Rating;Recommend to a Friend;Pros;Cons;Client Comments;Photo 1;Photo 2;Video 1;# of Comments;"# of Comments
Approved";"# of Comments
Rejected";"# of Comments
in Moderation";"# of Comments 
with Photo";"# of Comments 
with Video";"# of Helpful
Votes";"# of Not Helpful
Votes";"# of Inappropriate
Votes";Client Response 1;Response Department 1;Response Name 1;Response Type 1;Âge;Department;Utilise des produits Mugler depuis;Sexe;A reçu un produit gratuit;Verified Purchaser;Net Promoter Score;Net Promoter Comment;Campaign ID;Locale;Originating Domain;Display Code;Session Parameters
212738622;9/13/2019;9/13/2019;M020003080;A*Men Eau de Toilette Flacon Recharge;Magique !;"Mon mari utilise ce parfum depuis près de 20 ans! 
Je le trouve toujours aussi envoûtant 
J'adore";https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-flacon-recharge-M020003080.html;OTHER;APPROVED;;TMGFR015175001;BV_FE_FAMILY:M020003080;M020003080;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;Line1507;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;36-45;;11-25 ans;Féminin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
212726170;9/13/2019;9/13/2019;M020003080;A*Men Eau de Toilette Flacon Recharge;;;https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-flacon-recharge-M020003080.html;OTHER;APPROVED;;TMGFR014879513;BV_FE_FAMILY:M020003080;M020003080;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;Yes;Sans;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;56-65;;11-25 ans;Masculin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
209616175;5/29/2019;5/29/2019;M020003080;A*Men Eau de Toilette Flacon Recharge;Très bien;Vraiment parfait,produit exceptionnel et parfum qui tiens bien toute la journée.;https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-flacon-recharge-M020003080.html;OTHER;APPROVED;;TMGFRCRM064669;BV_FE_FAMILY:M020003080;M020003080;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;papy37;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;66 ou plus;;11-25 ans;Masculin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
209525239;5/25/2019;5/25/2019;M020003080;A*Men Eau de Toilette Flacon Recharge;;Cela fait plusieurs années que j'utilise ce produit qui me donne entière satisfaction, surtout depuis l'existence de la recharge.;https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-flacon-recharge-M020003080.html;OTHER;APPROVED;;TMGFR011620967;BV_FE_FAMILY:M020003080;M020003080;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;JIPS;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;66 ou plus;;11-25 ans;Masculin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
212993223;9/24/2019;9/24/2019;M020101001;A*Men Eau de Toilette Vaporisateur Métal;Tres mécontent;"ma commande #TMG_FR00115403 effectuée le 18/09/2019 est toujours en attente de préparation.
Ma commande précédente commande #TMG_FR00095907 effectuée le 27/08/2019 n'a jamais reçu d'information aux deux messages de réclamation envoyés
ce n'est plus Mugler  et sa fiabilité tel que je le pratiquais depuis plus de 10ans";https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-vaporisateur-metal-M020101001.html;OTHER;REJECTED;SI CSN;TMGFRCRM109053;BV_FE_FAMILY:M020101001;M020101001;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;darius;;0;Yes;Yes;1;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;66 ou plus;;11-25 ans;Masculin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
199104011;4/20/2018;4/20/2018;M020101001;A*Men Eau de Toilette Vaporisateur Métal;;on viens de m'offrir un flacon de parfum JE PENSE ACHETER CE PRODUIT !!!! mais quand il sera fini !!!;https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-vaporisateur-metal-M020101001.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;ep86fou3bhch7r6qvbb6xeikv;BV_FE_FAMILY:M020101001;M020101001;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;bob48;Brison-Saint-Innocent, France;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;2;0;0;;;;;66 ou plus;Savoie;4-10 ans;Masculin;;;;;BV_RATING_SUMMARY;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
192686948;11/10/2017;11/10/2017;M020101001;A*Men Eau de Toilette Vaporisateur Métal;Belle présentation dans ce flacon original;un parfum que tous ceux que l'on connait demande la marque tellement le parfum est agréable.;https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-vaporisateur-metal-M020101001.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;q5ymoa1jllmiogdl5hw9i83up;BV_FE_FAMILY:M020101001;M020101001;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;jeanlou;89100 Sens, France;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;66 ou plus;Yonne;4-10 ans;Masculin;;;;;BV_RATING_SUMMARY;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
191825221;10/24/2017;10/24/2017;M020101001;A*Men Eau de Toilette Vaporisateur Métal;On y revient;"Acheté à a sa sortie et porté 10 ans, j'ai essaye tant d'autres ,porté la version Pure Coffee aussi (qui n'existe plus) .
Mais celui ci ,il a un je ne sais quoi en plus qui rend addict. 
Le flacon métal est magnifique, livré avec sa chiffonette pour enlever les traces de doigts";https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-vaporisateur-metal-M020101001.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;ABC RW;3hsse7bqgkrbx4vz97uq50nwe;BV_FE_FAMILY:M020101001;M020101001;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;gregmarseille;Marseille, France;0;Yes;No;5;Yes;;;10/25/2017 01:57 (Relations.Client.Mugler) Approved by client;;;;0;0;0;0;0;0;2;0;0;;;;;36-45;BouchesduRhone;11-25 ans;Masculin;;;;;BV_RATING_SUMMARY;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
185685169;9/4/2017;9/4/2017;M020101001;A*Men Eau de Toilette Vaporisateur Métal;Excellant !;"Ma mère m'a donné un échantillon et depuis je l'adore !
Il a une odeur fruitée que j'adore, tout simplement génial !

/!\ Par contre, à ne surtout pas abuser !";https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-vaporisateur-metal-M020101001.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;iv4s35ra34txas62fxq15rzq0;BV_FE_FAMILY:M020101001;M020101001;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;Xerky;;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;2;1;0;;;;;18 ou moins;;Moins d'1 an;Masculin;;;;;BV_RATING_SUMMARY;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
142803493;4/17/2016;4/20/2016;M020101001;A*Men Eau de Toilette Vaporisateur Métal;A men;"Je l'ai acheter pour noel 2016 
 te je suis tout de suite tombé en amour avec";https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-vaporisateur-metal-M020101001.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;qca0cr8i3v1njdhmwrbbfst70;BV_FE_FAMILY:M020101001;M020101001;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;jibo;Canada;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;3;3;0;;;;;19-25;;1-3 ans;Masculin;;;;;BV_RATING_SUMMARY_ZERO_REVIEWS;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
